,PCT_CHG
2025-07-01,0.27195656
2025-07-02,-1.01076233
2025-07-03,0.69167684
2025-07-04,-0.74946852
2025-07-07,0.32937082
2025-07-08,1.29457911
2025-07-09,-0.26138165
2025-07-10,0.09229881
2025-07-11,0.81949657
2025-07-14,0.35102974
2025-07-15,-0.33297536
2025-07-16,0.51586268
2025-07-17,1.19482582
2025-07-18,0.12857087
2025-07-21,1.02178071
2025-07-22,0.25745721
2025-07-23,-0.62351703
2025-07-24,1.23216689
2025-07-25,0.22149005
2025-07-28,0.49824251
2025-07-29,0.64134989
2025-07-30,-0.9297638
2025-07-31,-0.61034888
2025-08-01,0.22273108
2025-08-04,1.28790004
2025-08-05,0.72379115
2025-08-06,1.09108946
2025-08-07,0.02242313
2025-08-08,-0.40825726
2025-08-11,1.60358567
2025-08-12,0.26152656
2025-08-13,1.41367557
2025-08-14,-1.55687307
2025-08-15,2.12671105
2025-08-18,2.04594841
2025-08-19,0.30711108
2025-08-20,0.63976536
2025-08-21,-0.75244175
2025-08-22,1.20360491
2025-08-25,1.5054711
2025-08-26,-0.13137376
2025-08-27,-2.01396197
2025-08-28,1.29161712
2025-08-29,-0.28192751
2025-09-01,0.96532307
2025-09-02,-2.48481972
2025-09-03,-1.6342089
2025-09-04,-2.07366025
2025-09-05,2.90473792
2025-09-08,1.01929232
2025-09-09,-1.35457553
2025-09-10,0.22368598
2025-09-11,2.26028931
2025-09-12,0.20152067
2025-09-15,-0.08654065
2025-09-16,1.2098814
2025-09-17,0.71712601
2025-09-18,-1.05902711
2025-09-19,-0.73685824
2025-09-22,0.62703479
2025-09-23,-1.30903572
2025-09-24,1.52953177
2025-09-25,-0.44203503
2025-09-26,-1.65117965
2025-09-29,1.11692511
2025-09-30,0.73549642
2025-10-09,0.85303416
2025-10-10,-1.1758363
2025-10-13,-0.33275552
2025-10-14,-1.8784279
2025-10-15,1.63737955
2025-10-16,-1.15905158
2025-10-17,-2.98872913
2025-10-20,1.11267219
2025-10-21,1.67657907
2025-10-22,-0.39835461
2025-10-23,-0.13348909
2025-10-24,1.29055824
