,PCT_CHG
2025-07-01,0.21051123
2025-07-02,-0.16622465
2025-07-03,0.58863797
2025-07-04,0.21464671
2025-07-07,-0.36533809
2025-07-08,0.96130099
2025-07-09,-0.23596109
2025-07-10,0.47436878
2025-07-11,0.27913158
2025-07-14,0.02582027
2025-07-15,0.01664867
2025-07-16,-0.22518065
2025-07-17,0.78616938
2025-07-18,0.51415243
2025-07-21,0.75658664
2025-07-22,0.8239532
2025-07-23,-0.05550937
2025-07-24,0.93261022
2025-07-25,-0.36393931
2025-07-28,0.25422665
2025-07-29,0.42485094
2025-07-30,-0.18613313
2025-07-31,-1.71102328
2025-08-01,-0.42895825
2025-08-04,0.49260662
2025-08-05,0.76693383
2025-08-06,0.40720719
2025-08-07,-0.06190265
2025-08-08,-0.23196995
2025-08-11,0.60038234
2025-08-12,0.48930649
2025-08-13,0.9531216
2025-08-14,-0.37894899
2025-08-15,1.08369083
2025-08-18,1.05201346
2025-08-19,-0.32836413
2025-08-20,1.12522151
2025-08-21,0.18915352
2025-08-22,2.00940818
2025-08-25,2.03220675
2025-08-26,-0.22583154
2025-08-27,-1.48325788
2025-08-28,1.87651501
2025-08-29,0.66573658
2025-09-01,0.69142198
2025-09-02,-1.10019301
2025-09-03,-0.8572541
2025-09-04,-2.21549818
2025-09-05,2.45350273
2025-09-08,0.42037192
2025-09-09,-0.75519576
2025-09-10,0.16244189
2025-09-11,2.4272855
2025-09-12,-0.32447008
2025-09-15,0.13919526
2025-09-16,0.04582089
2025-09-17,0.70651507
2025-09-18,-1.07178914
2025-09-19,-0.05022227
2025-09-22,0.5422473
2025-09-23,-0.21289778
2025-09-24,1.28648086
2025-09-25,0.50216503
2025-09-26,-1.06061553
2025-09-29,1.53195272
2025-09-30,0.55374126
2025-10-09,1.58027817
2025-10-10,-1.97518592
2025-10-13,-0.43986061
2025-10-14,-1.54184604
2025-10-15,1.45314422
2025-10-16,-0.0394287
2025-10-17,-2.4500113
2025-10-20,0.59330762
2025-10-21,1.56305149
2025-10-22,-0.45597124
2025-10-23,0.27411349
2025-10-24,1.29645203
2025-10-27,1.31496133
2025-10-28,-0.51255317
2025-10-29,1.38245937
2025-10-30,-0.92666895
2025-10-31,-1.27430995
2025-11-03,0.20993
2025-11-04,-0.99588826
2025-11-05,0.20441739
2025-11-06,1.47777571
2025-11-07,-0.29282604
2025-11-10,0.31242326
2025-11-11,-0.8591039
2025-11-12,-0.27638124
2025-11-13,1.29925641
2025-11-14,-1.58758526
2025-11-17,-0.47638988
2025-11-18,-0.78830524
2025-11-19,0.21604566
2025-11-20,-0.60064009
2025-11-21,-2.7111348
2025-11-24,0.10753485
2025-11-25,1.03042185
2025-11-26,0.48488283
2025-11-27,-0.0885383
2025-11-28,0.48911322
2025-12-01,1.07371202
2025-12-02,-0.5858674
2025-12-03,-0.54128312
2025-12-04,0.31399084
2025-12-05,0.93523217
2025-12-08,0.87516474
2025-12-09,-0.5631043
2025-12-10,0.02745603
2025-12-11,-0.90561914
2025-12-12,0.79075585
2025-12-15,-0.66989594
2025-12-16,-1.29958363
2025-12-17,1.86188897
2025-12-18,-0.57204062
2025-12-19,0.50446484
2025-12-22,1.01745904
2025-12-23,0.14910847
2025-12-24,0.56058475
2025-12-25,0.34763675
2025-12-26,0.40621163
2025-12-29,-0.38223831
2025-12-30,0.29026
2025-12-31,-0.31099799
2026-01-05,2.05632436
2026-01-06,1.7049517
2026-01-07,0.00026588
2026-01-08,-0.52380755
2026-01-09,0.89423272
2026-01-12,1.13925934
2026-01-13,-0.79639865
2026-01-14,0.00570004
2026-01-15,0.12764257
2026-01-16,-0.26146564
2026-01-19,0.23129675
2026-01-20,-0.37371856
2026-01-21,0.38498374
2026-01-22,0.17446791
2026-01-23,0.38350409
2026-01-26,-0.22133004
2026-01-27,0.12706457
2026-01-28,0.36464994
2026-01-29,0.2484027
2026-01-30,-1.21328676
2026-02-02,-2.67122679
2026-02-03,1.72957255
2026-02-04,0.63028291
2026-02-05,-0.96109208
2026-02-06,-0.40838364
2026-02-09,1.73998428
2026-02-10,0.06212745
2026-02-11,-0.09047841
2026-02-12,0.42678331
2026-02-13,-1.31738883
2026-02-24,1.04436769
2026-02-25,0.89414372
2026-02-26,-0.03237745
2026-02-27,0.10635549
2026-03-02,0.2682511
2026-03-03,-2.37407733
2026-03-04,-0.92603492
2026-03-05,0.9063122
2026-03-06,0.37398674
2026-03-09,-0.96578049
2026-03-10,1.37127884
2026-03-11,0.42520402
2026-03-12,-0.40725577
2026-03-13,-0.69579227
2026-03-16,-0.15517611
2026-03-17,-1.11512848
2026-03-18,0.60816137
2026-03-19,-1.92606705
2026-03-20,-0.67578648
2026-03-23,-3.50288388
2026-03-24,1.51379485
2026-03-25,1.63848635
2026-03-26,-1.40445408
2026-03-27,0.75423404
2026-03-30,-0.10974396
2026-03-31,-1.16822942
2026-04-01,1.71806881
2026-04-02,-1.27595074
2026-04-03,-0.87201496
2026-04-07,0.13231035
2026-04-08,3.8992116
2026-04-09,-0.62321696
2026-04-10,1.35635205
2026-04-13,0.14210867
2026-04-14,1.28029423
2026-04-15,-0.40052909
2026-04-16,1.26501352
